Title,DiscMand,MajorSpendingCategory,Agency,Bureau,Func,SubFunc,O2016
"Military personnel, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,"27,907"
"Aircraft procurement, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"16,142"
"Weapons procurement, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"3,029"
"Weapons procurement, Navy",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,1
"Procurement of ammunition, Navy and Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,858
"Shipbuilding and conversion, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"14,217"
"Operation and maintenance, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,"44,937"
"Operation and maintenance, Navy",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,7
"Operation and maintenance, Navy Reserve",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,974
"Other procurement, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"5,841"
"Other procurement, Navy",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,3
National defense sealift fund,Discretionary,Defense,Department of Defense--Military Programs                        ,Revolving and Management Funds,50,51,583
"Intragovernmental Receipts, Profits from Ships' Stores, Navy",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-12
"Recoveries from FMS Sales, Navy",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-30
"General Fund Receipts, not Otherwise Classified, Navy",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-90
"Undistrib. Intragovernmental Pymnts, Receivables from cancelled accts, Navy",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-20
"Recoveries from government properties, lost or damaged",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-35
"Family housing construction, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,46
"Family housing operation and maintenance, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,365
"Medicare-Eligible retiree health fund contribution, Army        ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,"1,890"
"Medicare-Eligible Retiree Health Fund, Reserves, Army           ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,358
"Medicare-Eligible Retiree Health Fund Contribution, National Gua",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,630
"Military personnel, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,"42,737"
"Operation and maintenance, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,"48,110"
"Operation and maintenance, Army",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,5
"Aircraft procurement, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"5,399"
"Aircraft procurement, Army",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,0
"Missile procurement, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"1,416"
"Procurement of weapons and tracked combat vehicles, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"1,907"
"Procurement of ammunition, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"1,661"
"Other procurement, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"6,158"
"Other procurement, Army",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,0
"Research, Development, Test and Evaluation, Army                ",Discretionary,Defense,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,"7,022"
"Research, Development, Test and Evaluation, Army                ",Mandatory,Other Spending,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,29
"Military construction, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,"1,329"
"National Guard personnel, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,"7,934"
"Operation and maintenance, Army National Guard",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,"6,515"
"Reserve personnel, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,"4,375"
"Operation and maintenance, Army Reserve",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,"2,542"
"Military construction, Army National Guard",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,314
"Military construction, Army Reserve",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,161
Afghanistan security forces fund                                ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,"2,520"
Iraq security forces fund                                       ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,5
Joint Improvised-Threat Defeat Fund                             ,Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,621
Pakistan Counterinsurgency  Fund                                ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,1
Afghanistan Infrastructure Fund                                 ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,219
Iraq Train and Equip Fund                                       ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,924
Other DOD trust funds,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Trust Funds,50,51,31
"Recoveries from FMS Sales, Army",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-25
"General Fund Receipts, not Otherwise Classified, Army",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-200
"Receipts, Restoration of the RM Arsenal",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-1
"Undistributed intragovernmental pymnts, Receivables from cancelled accts., Army",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-80
"Family housing construction, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,87
"Family housing operation and maintenance, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,296
"Medicare-Eligible retiree health fund contribution, Air Force   ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,"1,239"
"Medicare-Eligible retiree health fund contribution, reserve pers",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,118
"Medicare-Eligible retiree health fund contribution, National Gua",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,204
"Aircraft procurement, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"11,516"
"Aircraft procurement, Air Force",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,1
"Procurement of ammunition, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,789
"Missile procurement, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"4,276"
"Space Procurement, Air Force                                    ",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,506
"Other procurement, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"20,843"
"Other procurement, Air Force",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,12
"Military construction, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,886
"Operation and maintenance, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,"45,060"
"Operation and maintenance, Air Force",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,9
"Military personnel, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,"28,060"
"Research, Development, Test and Evaluation, Air Force           ",Discretionary,Defense,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,"23,386"
"Research, Development, Test and Evaluation, Air Force           ",Mandatory,Other Spending,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,27
"Reserve personnel, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,"1,682"
"Military construction, Air Force Reserve",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,34
"Operation and maintenance, Air Force Reserve",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,"2,930"
"Military construction, Air National Guard",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,93
"Operation and maintenance, Air National Guard",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,"6,513"
"National Guard personnel, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,"3,184"
"Recoveries from FMS Sales, Air Force",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-25
"General Fund Receipts, not Otherwise Classified, Air Force",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-95
"Undistributed intragovernmental pymnts, receivables from cancelled accts., A.F.",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-45
Concurrent receipt accrual payments to the Military Retirement F,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Military Personnel,50,51,"6,870"
"Operation and maintenance, Defense-wide",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,"37,827"
"Operation and maintenance, Defense-wide",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,13
United States Court of Appeals for the Armed Forces             ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,13
"Drug Interdiction and Counter-Drug Activities, Defense          ",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,363
Office of the Inspector General,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,311
Department of Defense Acquisition Workforce Development Fund    ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,6
Department of Defense Acquisition Workforce Development Fund    ,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,19
Defense health program,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,"31,646"
Cooperative Threat Reduction Account                            ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,394
Cooperative Threat Reduction Account                            ,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,7
Counterterrorism Partnerships Fund                              ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,560
"Procurement, Defense-wide",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"4,815"
National guard and reserve equipment,Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"1,014"
Defense production act purchases,Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,73
"Chemical Agents and Munitions Destruction, Defense              ",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,791
"Chemical demilitarization construction, defense-wide            ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,46
"Research, Development, Test and Evaluation, Defense-wide        ",Discretionary,Defense,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,"17,980"
"Research, Development, Test and Evaluation, Defense-wide        ",Mandatory,Other Spending,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,29
"Operational Test and Evaluation, Defense                        ",Discretionary,Defense,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,211
"Military construction, Defense-wide",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,"2,583"
Department of Defense Base Closure Account 1990                 ,Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,60
Department of Defense Base Closure Account 2005                 ,Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,60
Department of Defense Base Closure Account                      ,Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,357
"Family housing operation and maintenance, Defense-Wide          ",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,55
Foreign currency fluctuations,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,170
North Atlantic Treaty Organization security investment program,Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,134
The Department of Defense Environmental Restoration Accounts,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,200
"Environmental restoration, formerly used Defense sites",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,86
"Overseas Humanitarian, Disaster, and Civic Aid                  ",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,209
Department of Defense family housing improvement fund           ,Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,17
Department of Defense family housing improvement fund           ,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Family Housing,50,51,-20
Support for international sporting competitions,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,3
Homeowners assistance fund,Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,0
National defense stockpile transaction fund,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Revolving and Management Funds,50,51,10
"Working Capital Fund, Army                                      ",Discretionary,Defense,Department of Defense--Military Programs                        ,Revolving and Management Funds,50,51,"1,860"
Buildings maintenance fund,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Revolving and Management Funds,50,51,10
Pentagon reservation maintenance revolving fund,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Revolving and Management Funds,50,51,25
Disposal of Department of Defense real property,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,10
Lease of Department of Defense real property,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,28
Overseas military facility investment recovery,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,2
Mutually Beneficial Activities                                  ,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,24
Department of Defense Vietnam War Commemoration Fund            ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,1
Military personnel,Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,"3,990"
"Surcharge collections, sales of commissary stores, Defense",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Trust Funds,50,51,20
Foreign national employees separation pay,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Trust Funds,50,51,54
Voluntary separation incentive fund,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Trust Funds,50,51,82
Host nation support fund for relocation,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Trust Funds,50,51,289
"Undistrib. intragvrnmntl pymnts, receivables from cancelled accts, def. agencies",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-10
Deposits for survivor annuity benefits,Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-21
Sale of Scrap and Salvage Materials,Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-1
General transfer authority outlay allowance,Discretionary,Defense,Department of Defense--Military Programs                        ,Allowances,50,51,338
General transfer authority outlay allowance,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Allowances,50,51,0
Miscellaneous special funds,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,2
Allied contributions and cooperation account,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,746
"Contributions, Department of Defense General Gift Fund",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-1
"Collections, Contributions to the Cooperative Threat Reduction",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-6
"Receipts, Sale of Certain Materials in the National Defense Stockpile",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-20
"Intragovernmental Receipts, Voluntary Separation Incentives",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-49
"Intragovernmental Receipts, Foreign National Employees Separation Fund",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-44
Contributions for mutually beneficial activities (Kuwait),Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-80
"Recoveries from FMS Sales, Defense Agencies",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-7
"General Fund Receipts, not Otherwise Classified, Defense Agencies",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-125
Receipts from Disposal and Lease of Real Property,Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-41
"Receipts, Allied Contributions and Cooperation Account",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-796
"Receipts, Transfer/Disposition of Commissary Facilities",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-1
Energy employees occupational illness compensation fund,Mandatory,Other Spending,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,50,53,997
"Administrative expenses, Energy employees occupational illness c",Mandatory,Other Spending,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,50,53,119
CDC-Wide Activities and Program Support                         ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,50,53,49
Weapons activities,Discretionary,Defense,Department of Energy                                            ,National Nuclear Security Administration,50,53,"8,283"
Other defense activities,Discretionary,Defense,Department of Energy                                            ,Environmental and Other Defense Activities,50,53,773
Defense environmental cleanup                                   ,Discretionary,Defense,Department of Energy                                            ,Environmental and Other Defense Activities,50,53,"5,181"
Defense nuclear nonproliferation,Discretionary,Defense,Department of Energy                                            ,National Nuclear Security Administration,50,53,"1,959"
Salaries and Expenses                                           ,Discretionary,Defense,Department of Energy                                            ,National Nuclear Security Administration,50,53,365
Naval Reactors,Discretionary,Defense,Department of Energy                                            ,National Nuclear Security Administration,50,53,"1,288"
Nuclear Energy                                                  ,Discretionary,Defense,Department of Energy                                            ,Energy Programs,50,53,106
Formerly utilized sites remedial action program,Discretionary,Defense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,50,53,108
Salaries and Expenses                                           ,Discretionary,Defense,Defense Nuclear Facilities Safety Board                         ,Defense Nuclear Facilities Safety Board                         ,50,53,29
Operations and administration,Discretionary,Defense,Department of Commerce                                          ,Bureau of Industry and Security,50,54,37
Salaries and expenses,Discretionary,Defense,Department of Justice                                           ,Federal Bureau of Investigation,50,54,"4,900"
Salaries and expenses,Mandatory,Other Spending,Department of Justice                                           ,Federal Bureau of Investigation,50,54,68
Payment to radiation exposure compensation trust fund,Mandatory,Other Spending,Department of Justice                                           ,Radiation Exposure Compensation,50,54,64
Radiation exposure compensation trust fund,Mandatory,Other Spending,Department of Justice                                           ,Radiation Exposure Compensation,50,54,64
"Payment from the general fund, Radiation Exposure Compensation TF",Mandatory,Other Spending,Department of Justice                                           ,Department of Justice,50,54,-64
Research and related activities,Discretionary,Defense,National Science Foundation                                     ,National Science Foundation,50,54,66
Central Intelligence Agency Retirement and Disability System    ,Mandatory,Other Spending,Central Intelligence Agency                                     ,Central Intelligence Agency                                     ,50,54,514
Maritime security program,Discretionary,Defense,Department of Transportation                                    ,Maritime Administration,50,54,208
Infrastructure Protection and Information Security              ,Discretionary,Defense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,50,54,"1,156"
Operating expenses,Discretionary,Defense,Department of Homeland Security                                 ,United States Coast Guard,50,54,491
Salaries and Expenses                                           ,Discretionary,Defense,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,50,54,73
Salaries and expenses,Discretionary,Defense,Other Defense Civil Programs                                    ,Selective Service System,50,54,21
Payment to military retirement fund,Mandatory,Other Spending,Other Defense Civil Programs                                    ,Military Retirement,50,54,"79,289"
Payment to Department of Defense Medicare-eligible retiree healt,Mandatory,Other Spending,Other Defense Civil Programs                                    ,Retiree Health Care,50,54,"3,324"
"Federal contributions, DOD retiree health care fund",Mandatory,Other Spending,Other Defense Civil Programs                                    ,Retiree Health Care,50,54,"-3,324"
"Military retirement, federal contribution",Mandatory,Other Spending,Other Defense Civil Programs                                    ,Military Retirement,50,54,"-79,289"
Intelligence Community Management Account                       ,Discretionary,Defense,Intelligence Community Management Account                       ,Intelligence Community Management Account                       ,50,54,503
Military Compensation and Retirement Modernization Commission   ,Discretionary,Defense,Military Compensation and Retirement Modernization Commission,Military Compensation and Retirement Modernization Commission,50,54,4
Salaries and Expenses                                           ,Discretionary,Defense,Privacy and Civil Liberties Oversight Board                     ,Privacy and Civil Liberties Oversight Board                     ,50,54,17
Abandoned mine reclamation fund,Discretionary,Nondefense,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,300,302,32
"Acquisition, construction, and improvements",Discretionary,Nondefense,Department of Homeland Security                                 ,United States Coast Guard,400,403,"1,390"
"Acquisition, Construction, and Improvements                     ",Discretionary,Nondefense,Department of Homeland Security                                 ,United States Secret Service,750,751,60
"Acquisitions, Construction, Improvements and Related Expenses   ",Discretionary,Nondefense,Department of Homeland Security                                 ,Federal Law Enforcement Training Center,750,751,30
Administrative expenses,Discretionary,Nondefense,Department of Transportation                                    ,Federal Transit Administration,400,401,108
"Administrative Expenses, Recovery Act                           ",Discretionary,Nondefense,Social Security Administration                                  ,Social Security Administration,650,651,43
Administrative review and appeals,Discretionary,Nondefense,Department of Justice                                           ,General Administration,750,751,419
Administrative Support Offices                                  ,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Management and Administration,600,604,450
Advanced Research Projects Agency--Energy                       ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,271,243
Advanced Technology Vehicles Manufacturing Loan Program Account ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,272,55
Aeronautics                                                     ,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,400,402,641
African Development Foundation,Discretionary,Nondefense,International Assistance Programs                               ,African Development Foundation,150,151,30
"Agency for Toxic Substances and Disease Registry, Toxic Substanc",Discretionary,Nondefense,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,550,551,72
Agency operations and award management                          ,Discretionary,Nondefense,National Science Foundation                                     ,National Science Foundation,250,251,324
Aging and Disability Services Programs                          ,Discretionary,Nondefense,Department of Health and Human Services                         ,Administration for Community Living                             ,500,506,"1,796"
Agricultural credit insurance fund program account,Discretionary,Nondefense,Department of Agriculture                                       ,Farm Service Agency,350,351,360
Agriculture Buildings and Facilities and Rental Payments        ,Discretionary,Nondefense,Department of Agriculture                                       ,Buildings and Facilities                                        ,350,352,70
Host Country Resident Contractors Separation Liability Fund     ,Mandatory,Other Spending,International Assistance Programs                               ,Peace Corps,150,151,20
"Gifts and Donations, African Development Foundation             ",Mandatory,Offsetting receipts,International Assistance Programs                               ,African Development Foundation,150,151,-2
"Gifts and Donations, African Development Foundation             ",Mandatory,Other Spending,International Assistance Programs                               ,African Development Foundation,150,151,1
"Expenses, Public Law 480, foreign assistance programs, Agricultu",Mandatory,Other Spending,Department of Agriculture                                       ,Foreign Agricultural Service,150,151,-280
"Air and Marine Interdiction, Operations, Maintenance, and Procur",Discretionary,Nondefense,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,750,751,784
Allowances and office staff for former Presidents,Discretionary,Nondefense,General Services Administration                                 ,General Activities,800,802,3
Alteration of bridges,Discretionary,Nondefense,Department of Homeland Security                                 ,United States Coast Guard,400,403,5
American Printing House for the Blind,Discretionary,Nondefense,Department of Education                                         ,Office of Special Education and Rehabilitative Services,500,501,25
"American sections, international commissions",Discretionary,Nondefense,Department of State                                             ,International Commissions,300,301,12
Analysis and operations                                         ,Discretionary,Nondefense,Department of Homeland Security                                 ,Departmental Management and Operations                          ,750,751,260
Andean Counterdrug Programs                                     ,Discretionary,Nondefense,Department of State                                             ,Other,150,151,2
Appalachian development highway system,Discretionary,Nondefense,Department of Transportation                                    ,Federal Highway Administration,400,401,10
Appalachian Regional Commission                                 ,Discretionary,Nondefense,Appalachian Regional Commission                                 ,Appalachian Regional Commission                                 ,450,452,92
