Title,DiscMand,MajorSpendingCategory,Agency,Bureau,Func,SubFunc,O2016,DiscMandAgg,MajSpendAgg,FuncAgg,,AgencyAgg,BureauAgg
"Aircraft procurement, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,11516,1195950,587551,595863,,,
"Aircraft procurement, Air Force",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,1,2448710,710521,595863,,,
"Procurement of ammunition, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,789,1195950,587551,595863,,,
"Missile procurement, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,4276,1195950,587551,595863,,,
"Space Procurement, Air Force                                    ",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,506,1195950,587551,595863,,,
"Other procurement, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,20843,1195950,587551,595863,,,
"Other procurement, Air Force",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,12,2448710,710521,595863,,,
"Military construction, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,886,1195950,587551,595863,,,
"Operation and maintenance, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,45060,1195950,587551,595863,,,
"Operation and maintenance, Air Force",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,9,2448710,710521,595863,,,
"Military personnel, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,28060,1195950,587551,595863,,,
"Research, Development, Test and Evaluation, Air Force           ",Discretionary,Defense,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,23386,1195950,587551,595863,,,
"Research, Development, Test and Evaluation, Air Force           ",Mandatory,Other Spending,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,27,2448710,710521,595863,,,
"Reserve personnel, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,1682,1195950,587551,595863,,,
"Military construction, Air Force Reserve",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,34,1195950,587551,595863,,,
"Operation and maintenance, Air Force Reserve",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,2930,1195950,587551,595863,,,
"Military construction, Air National Guard",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,93,1195950,587551,595863,,,
"Operation and maintenance, Air National Guard",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,6513,1195950,587551,595863,,,
"National Guard personnel, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,3184,1195950,587551,595863,,,
"Recoveries from FMS Sales, Air Force",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-25,2448710,-238286,595863,,,
"General Fund Receipts, not Otherwise Classified, Air Force",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-95,2448710,-238286,595863,,,
"Undistributed intragovernmental pymnts, receivables from cancelled accts., A.F.",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-45,2448710,-238286,595863,,,
Concurrent receipt accrual payments to the Military Retirement F,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Military Personnel,50,51,6870,2448710,710521,595863,,,
"Operation and maintenance, Defense-wide",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,37827,1195950,587551,595863,,,
"Operation and maintenance, Defense-wide",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,13,2448710,710521,595863,,,
United States Court of Appeals for the Armed Forces             ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,13,1195950,587551,595863,,,
"Drug Interdiction and Counter-Drug Activities, Defense          ",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,363,1195950,587551,595863,,,
Office of the Inspector General,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,311,1195950,587551,595863,,,
Department of Defense Acquisition Workforce Development Fund    ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,6,1195950,587551,595863,,,
Department of Defense Acquisition Workforce Development Fund    ,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,19,2448710,710521,595863,,,
Defense health program,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,31646,1195950,587551,595863,,,
Cooperative Threat Reduction Account                            ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,394,1195950,587551,595863,,,
Cooperative Threat Reduction Account                            ,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,7,2448710,710521,595863,,,
Counterterrorism Partnerships Fund                              ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,560,1195950,587551,595863,,,
"Procurement, Defense-wide",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,4815,1195950,587551,595863,,,
National guard and reserve equipment,Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,1014,1195950,587551,595863,,,
Defense production act purchases,Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,73,1195950,587551,595863,,,
"Chemical Agents and Munitions Destruction, Defense              ",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,791,1195950,587551,595863,,,
"Chemical demilitarization construction, defense-wide            ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,46,1195950,587551,595863,,,
"Research, Development, Test and Evaluation, Defense-wide        ",Discretionary,Defense,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,17980,1195950,587551,595863,,,
"Research, Development, Test and Evaluation, Defense-wide        ",Mandatory,Other Spending,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,29,2448710,710521,595863,,,
"Operational Test and Evaluation, Defense                        ",Discretionary,Defense,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,211,1195950,587551,595863,,,
"Military construction, Defense-wide",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,2583,1195950,587551,595863,,,
Department of Defense Base Closure Account 1990                 ,Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,60,1195950,587551,595863,,,
Department of Defense Base Closure Account 2005                 ,Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,60,1195950,587551,595863,,,
Department of Defense Base Closure Account                      ,Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,357,1195950,587551,595863,,,
"Family housing operation and maintenance, Defense-Wide          ",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,55,1195950,587551,595863,,,
Foreign currency fluctuations,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,170,1195950,587551,595863,,,
North Atlantic Treaty Organization security investment program,Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,134,1195950,587551,595863,,,
The Department of Defense Environmental Restoration Accounts,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,200,1195950,587551,595863,,,
"Environmental restoration, formerly used Defense sites",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,86,1195950,587551,595863,,,
"Overseas Humanitarian, Disaster, and Civic Aid                  ",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,209,1195950,587551,595863,,,
Department of Defense family housing improvement fund           ,Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,17,1195950,587551,595863,,,
Department of Defense family housing improvement fund           ,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Family Housing,50,51,-20,2448710,710521,595863,,,
Support for international sporting competitions,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,3,1195950,587551,595863,,,
Homeowners assistance fund,Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,0,1195950,587551,595863,,,
National defense stockpile transaction fund,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Revolving and Management Funds,50,51,10,2448710,710521,595863,,,
"Working Capital Fund, Army                                      ",Discretionary,Defense,Department of Defense--Military Programs                        ,Revolving and Management Funds,50,51,1860,1195950,587551,595863,,,
Buildings maintenance fund,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Revolving and Management Funds,50,51,10,2448710,710521,595863,,,
Pentagon reservation maintenance revolving fund,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Revolving and Management Funds,50,51,25,2448710,710521,595863,,,
Disposal of Department of Defense real property,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,10,1195950,587551,595863,,,
Lease of Department of Defense real property,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,28,1195950,587551,595863,,,
Overseas military facility investment recovery,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,2,1195950,587551,595863,,,
Mutually Beneficial Activities                                  ,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,24,2448710,710521,595863,,,
Department of Defense Vietnam War Commemoration Fund            ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,1,1195950,587551,595863,,,
Military personnel,Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,3990,1195950,587551,595863,,,
"Surcharge collections, sales of commissary stores, Defense",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Trust Funds,50,51,20,2448710,710521,595863,,,
Foreign national employees separation pay,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Trust Funds,50,51,54,2448710,710521,595863,,,
Voluntary separation incentive fund,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Trust Funds,50,51,82,2448710,710521,595863,,,
Host nation support fund for relocation,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Trust Funds,50,51,289,2448710,710521,595863,,,
"Undistrib. intragvrnmntl pymnts, receivables from cancelled accts, def. agencies",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-10,2448710,-238286,595863,,,
Deposits for survivor annuity benefits,Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-21,2448710,-238286,595863,,,
Sale of Scrap and Salvage Materials,Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-1,2448710,-238286,595863,,,
General transfer authority outlay allowance,Discretionary,Defense,Department of Defense--Military Programs                        ,Allowances,50,51,338,1195950,587551,595863,,,
General transfer authority outlay allowance,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Allowances,50,51,0,2448710,710521,595863,,,
Miscellaneous special funds,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,2,2448710,710521,595863,,,
Allied contributions and cooperation account,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,746,2448710,710521,595863,,,
"Contributions, Department of Defense General Gift Fund",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-1,2448710,-238286,595863,,,
"Collections, Contributions to the Cooperative Threat Reduction",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-6,2448710,-238286,595863,,,
"Receipts, Sale of Certain Materials in the National Defense Stockpile",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-20,2448710,-238286,595863,,,
"Intragovernmental Receipts, Voluntary Separation Incentives",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-49,2448710,-238286,595863,,,
"Intragovernmental Receipts, Foreign National Employees Separation Fund",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-44,2448710,-238286,595863,,,
Contributions for mutually beneficial activities (Kuwait),Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-80,2448710,-238286,595863,,,
"Recoveries from FMS Sales, Defense Agencies",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-7,2448710,-238286,595863,,,
"General Fund Receipts, not Otherwise Classified, Defense Agencies",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-125,2448710,-238286,595863,,,
Receipts from Disposal and Lease of Real Property,Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-41,2448710,-238286,595863,,,
"Receipts, Allied Contributions and Cooperation Account",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-796,2448710,-238286,595863,,,
"Receipts, Transfer/Disposition of Commissary Facilities",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-1,2448710,-238286,595863,,,
Energy employees occupational illness compensation fund,Mandatory,Other Spending,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,50,53,997,2448710,710521,595863,,,
"Administrative expenses, Energy employees occupational illness c",Mandatory,Other Spending,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,50,53,119,2448710,710521,595863,,,
CDC-Wide Activities and Program Support                         ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,50,53,49,2448710,710521,595863,,,
Weapons activities,Discretionary,Defense,Department of Energy                                            ,National Nuclear Security Administration,50,53,8283,1195950,587551,595863,,,
Other defense activities,Discretionary,Defense,Department of Energy                                            ,Environmental and Other Defense Activities,50,53,773,1195950,587551,595863,,,
Defense environmental cleanup                                   ,Discretionary,Defense,Department of Energy                                            ,Environmental and Other Defense Activities,50,53,5181,1195950,587551,595863,,,
Defense nuclear nonproliferation,Discretionary,Defense,Department of Energy                                            ,National Nuclear Security Administration,50,53,1959,1195950,587551,595863,,,
Salaries and Expenses                                           ,Discretionary,Defense,Department of Energy                                            ,National Nuclear Security Administration,50,53,365,1195950,587551,595863,,,
Naval Reactors,Discretionary,Defense,Department of Energy                                            ,National Nuclear Security Administration,50,53,1288,1195950,587551,595863,,,
Nuclear Energy                                                  ,Discretionary,Defense,Department of Energy                                            ,Energy Programs,50,53,106,1195950,587551,595863,,,
Formerly utilized sites remedial action program,Discretionary,Defense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,50,53,108,1195950,587551,595863,,,
Salaries and Expenses                                           ,Discretionary,Defense,Defense Nuclear Facilities Safety Board                         ,Defense Nuclear Facilities Safety Board                         ,50,53,29,1195950,587551,595863,,,
Operations and administration,Discretionary,Defense,Department of Commerce                                          ,Bureau of Industry and Security,50,54,37,1195950,587551,595863,,,
Salaries and expenses,Discretionary,Defense,Department of Justice                                           ,Federal Bureau of Investigation,50,54,4900,1195950,587551,595863,,,
Salaries and expenses,Mandatory,Other Spending,Department of Justice                                           ,Federal Bureau of Investigation,50,54,68,2448710,710521,595863,,,
Payment to radiation exposure compensation trust fund,Mandatory,Other Spending,Department of Justice                                           ,Radiation Exposure Compensation,50,54,64,2448710,710521,595863,,,
Radiation exposure compensation trust fund,Mandatory,Other Spending,Department of Justice                                           ,Radiation Exposure Compensation,50,54,64,2448710,710521,595863,,,
"Payment from the general fund, Radiation Exposure Compensation TF",Mandatory,Other Spending,Department of Justice                                           ,Department of Justice,50,54,-64,2448710,710521,595863,,,
Research and related activities,Discretionary,Defense,National Science Foundation                                     ,National Science Foundation,50,54,66,1195950,587551,595863,,,
Central Intelligence Agency Retirement and Disability System    ,Mandatory,Other Spending,Central Intelligence Agency                                     ,Central Intelligence Agency                                     ,50,54,514,2448710,710521,595863,,,
Maritime security program,Discretionary,Defense,Department of Transportation                                    ,Maritime Administration,50,54,208,1195950,587551,595863,,,
Infrastructure Protection and Information Security              ,Discretionary,Defense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,50,54,1156,1195950,587551,595863,,,
